t,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,label,dt,dt_seconds,session_break,session_id
0 days 00:01:00.898720972,-4.13299991,8.485000000000001,0.224,0.03599999999999999,0.07600000090000002,0.09999999999999998,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.918720972,-4.03199994,8.450000000000001,0.196,0.023999999999999994,0.09400000060000001,0.030000000000000027,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.938720972,-3.9309999700000002,8.415000000000001,0.16799999999999998,0.011999999999999997,0.11200000030000003,-0.040000000000000036,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.958720972,-3.83,8.38,0.14,0.0,0.13,-0.11,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.978720972,-3.908571428571429,8.765714285714287,0.12142857142857144,0.05,0.07714285714285715,-0.060000000000000005,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:00.998720972,-3.987142857142857,9.151428571428571,0.10285714285714287,0.1,0.024285714285714285,-0.010000000000000009,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.018720972,-4.065714285714286,9.537142857142857,0.0842857142857143,0.15,-0.028571428571428553,0.039999999999999966,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.038720972,-4.144285714285714,9.922857142857143,0.06571428571428573,0.2,-0.08142857142857143,0.08999999999999998,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.058720972,-4.222857142857142,10.30857142857143,0.04714285714285715,0.25,-0.13428571428571429,0.13999999999999996,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.078720972,-4.301428571428572,10.694285714285714,0.02857142857142858,0.3,-0.1871428571428571,0.18999999999999995,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.098720972,-4.38,11.08,0.01,0.35000000000000003,-0.24,0.24,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:01:01.118720972,-4.2,12.139999,-0.35999998,0.35000000000000003,-0.24,0.24,STANDING,0 days 00:00:00.020000,0.02,False,0
